competition_ref,primary_model,uses_ensemble,ensemble_type,stacking_levels,uses_nn,uses_original_data,key_techniques,top_place_mentioned,confidence,notes,n_sol_topics
icr-identify-age-related-conditions,unknown,True,blending,,True,,"TabPFN; probability calibration; feature engineering; balanced log loss",1,medium,"1st place writeup present but title gives no model info; TabPFN extensively discussed suggesting NN usage",2
playground-series-s3e1,unknown,,,,,True,"geospatial feature engineering; original data boost; latitude/longitude features",1,medium,"1st and 2nd place writeups present but neither names the model; original California housing dataset boost discussed prominently",3
playground-series-s3e2,unknown,,,,,,"Lasso regression; feature engineering; binary classification",1,medium,"1st and 5th place solutions present; Lasso regression prominently discussed suggesting linear models competitive",2
playground-series-s3e3,ensemble_mixed,True,blending,,,,"hill climbing; pseudo labeling; feature engineering",1,medium,"1st place present but model unnamed; top-voted writeup is hill climbing ensemble suggesting ensemble approach dominant",3
playground-series-s3e4,unknown,True,blending,,,True,"ensemble blending; data deduplication; duplicate handling",7,low,"No top-3 solutions found; highest is 7th place Ensembling the Flow; discussions about duplicate and original data",3
playground-series-s3e5,xgboost,False,,,False,,"RAPIDS XGBoost; single model; ordinal regression; threshold optimization",1,high,"1st place explicitly Single model RAPIDS XGBoost; single XGBoost wins; 3rd place used mode ensemble of 6 public notebooks",5
playground-series-s3e6,unknown,,,,,,"feature engineering; outlier removal; original vs synthetic data",1,low,"1st place in discussion only with no model named; 3rd place writeup also model-agnostic; limited solution disclosure",3
playground-series-s3e7,unknown,,,,,,"feature engineering; data leak exploitation; duplicate handling; XGB stacking at 9th",1,medium,"All top 4 solutions present but none name the model; 9th place used XGB stack; competition had data leakage",4
playground-series-s3e8,unknown,,,,,,"feature engineering; AutoGluon and AutoXGB at 6th; diamond price regression",1,medium,"1st 2nd 3rd solutions present but no model in title; 6th place used AutoGluon plus AutoXGB",3
playground-series-s3e9,ensemble_mixed,True,averaging,,,,"model diversity; cross-validation; ensemble averaging; concrete strength FE",1,high,"1st place title Cross-validation and diversity win explicitly signals multi-model ensemble approach",2
playground-series-s3e10,unknown,True,averaging,,,,"GAM; GBM; model diversity; ensemble averaging",1,medium,"1st place writeup exists but model unnamed; 3rd uses GAM+GBM; 7th says diverse ensemble; ensemble pattern throughout",4
playground-series-s3e11,ensemble_mixed,True,blending,,,,"model zoo; pseudo labeling; LOFO feature selection; insurance cost regression",1,high,"1st place title A Zoo of Models explicitly signals large diverse ensemble; 3rd uses pseudo labeling plus ensemble",3
playground-series-s3e13,unknown,,,,,,"LDA; MAP@3 metric; feature engineering; vector-borne disease multiclass",1,medium,"1st place titled Surprisingly #1 suggesting unexpected approach; LDA strong signal from discussions",3
playground-series-s3e14,unknown,True,blending,,,,"hill climbing; post-processing; gradient boosting; random forest",1,medium,"1st place highly voted writeup but model not named; 4th place introduces hill climbing; ensemble with post-processing dominant",3
playground-series-s3e16,ensemble_mixed,True,blending,,,,"brute-force ensemble; post-processing; data generation model analysis",1,high,"3rd place top-voted writeup uses brute-force ensemble; 5th uses five models plus LAD; 8th uses weighted ensemble",4
playground-series-s3e17,automl,True,averaging,,,,"multi-AutoML combination; CatBoost single at 17th; predictive maintenance",3,low,"No top-2 solutions found; 3rd uses multiple AutoML tools; 17th uses single CatBoost; model inferred from 3rd place only",2
playground-series-s3e22,unknown,,,,,,"feature engineering; probability calibration; horse survival classification",14,low,"Only 14th place solution posted; large shakeup discussed; no model information from top finishers",1
playground-series-s3e23,ensemble_mixed,True,blending,,,,"8 models ensemble; hill climbing; software defect prediction",2,high,"2nd place explicitly 8 Models Ensemble; hill climbing ensemble tutorial prominent; no 1st place solution found",1
playground-series-s3e24,ensemble_mixed,True,blending,,,,"hill climbing; probing; LightAutoML stacking; ensemble blending",2,medium,"3rd uses simple ensemble with probing; 4th uses robust hill climbing; LightAutoML stacking discussed; no explicit 1st place",3
playground-series-s3e26,ensemble_mixed,True,stacking,,True,,"neural networks; XGB stacking; GBDT; liver disease classification",1,high,"2nd place explicitly uses NNs; 4th uses XGB stacking as meta model; 1st present but model unknown",2
playground-series-s4e1,unknown,,,,,,"CatBoost encoding; target encoding; feature engineering; bank churn",1,medium,"1st 2nd 3rd all present; 3rd explicitly CatBoost Encoding Galore; 1st and 2nd model unknown",3
playground-series-s4e2,xgboost,True,stacking,,,,"XGB stacking; pseudo labeling; metric optimization; obesity multiclass",4,low,"No top-3 solutions; 4th uses XGB stacking plus pseudo labeling; model inferred from 4th place not winner",2
playground-series-s4e3,xgboost,,,,,,"noise contrastive estimation; XGBoost; tabular classification",1,high,"1st place title explicitly noise contrastive xgb; XGBoost with noise contrastive technique wins",1
playground-series-s4e4,unknown,True,blending,,,,"ensemble weights; feature engineering; RMSLE; abalone age",1,medium,"1st place writeup present but no model named; strong ensemble discussion throughout; ensemble weights tutorial prominent",2
